"Source:","/home/nijo/workspace/nahs-Brick-Interface/kicad/nahs-Brick-Interface_v4_r1.kicad_sch"
"Date:","So 25 Sep 2022 21:29:36 CEST"
"Tool:","Eeschema 6.0.5-a6ca702e91~116~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","32"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C3, C5, ","4","100nF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C4, C6, ","2","4.7µF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C7, C11, ","2","100µF/16V","C_Polarized","Capacitor_SMD:CP_Elec_5x5.4","Polarized capacitor",""
"C8, C9, C10, ","3","10µF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"F1, ","1","50mA","Fuse","Fuse:Fuse_1206_3216Metric","Fuse",""
"J1, ","1","Brick-Interface-V4","Brick-Interface-V4","no_brick_interface:Brick_Interface_V4_iside","",""
"J2, ","1","Brick-Interface-V4","Brick-Interface-V4_1","no_brick_interface:Brick_Interface_V4_iside_straddle","",""
"J3, ","1","TE_292304-1","TE_292304-1","Connector_USB:USB_B_OST_USB-B1HSxx_Horizontal","USB Type B connector",""
"J4, ","1","TE_292303-1","TE_292303-1","Connector_USB:USB_A_Stewart_SS-52100-001_Horizontal","USB Type A connector",""
"JP1, ","1","PINHD_1X04","PINHD_1X04","no_pinhd:PINHD_1X04_2.54_1mm_Round","",""
"JP2, ","1","PINHD_1X03","PINHD_1X03","no_pinhd:PINHD_1X03_2.54_1mm_Round","",""
"JP3, ","1","PINHD_2X03","PINHD_2X03","no_pinhd:PINHD_2X03_2.54_1mm_Round","",""
"JP4, ","1","PINHD_1x02","PINHD_1x02","no_pinhd:PINHD_1X02_2.54_1mm_Round","",""
"JP5, ","1","PINHD_2X04","PINHD_2X04","no_pinhd:PINHD_2X04_2.54_1mm_Round","",""
"R1, ","1","1k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R2, ","1","22k1","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R3, ","1","47k5","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"SW1, SW2, SW3, ","3","K3-2336S-F1","K3-2336S-F1","no_common:K3-2336S-F1","",""
"SW4, ","1","Taster_3301","Taster_3301","no_common:Taster_3301","",""
"U1, ","1","SL2.1A","SL2.1A","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","",""
"U2, ","1","CP2102N-A02-GQFN20R","CP2102N-A02-GQFN20R","no_common:QFN20","USB to UART FTDI FT232RL replacement",""
"U3, ","1","FT232RL","FT232RL","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","USB to Serial Interface, SSOP-28",""
"Y1, ","1","12MHz","Crystal","Crystal:Crystal_SMD_HC49-SD","Two pin crystal",""
