"Source:","/home/nijo/workspace/nahs-Bricks-GitHub/Interface/kicad/nahs-Bricks-Interface_v4.0_r2/nahs-Bricks-Interface_v4.0_r2.kicad_sch"
"Date:","So 03 Dez 2023 11:36:54 CET"
"Tool:","Eeschema 6.0.10-86aedd382b~118~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","43"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C3, C5, ","2","100nF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C4, C6, ","2","4.7µF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C7, C11, ","2","100µF/16V","C_Polarized","Capacitor_SMD:CP_Elec_5x5.4","Polarized capacitor",""
"C8, C9, C10, ","3","10µF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"D1, ","1","RED","LED","no_common:LED_0805_2012Metric","Light emitting diode",""
"D2, ","1","BLUE","LED","no_common:LED_0805_2012Metric","Light emitting diode",""
"D3, ","1","YELLOW","LED","no_common:LED_0805_2012Metric","Light emitting diode",""
"D4, ","1","GREEN","LED","no_common:LED_0805_2012Metric","Light emitting diode",""
"F1, ","1","50mA","Fuse","Fuse:Fuse_1206_3216Metric","Fuse",""
"FID1, FID2, FID3, ","3","Fiducial","Fiducial","Fiducial:Fiducial_1mm_Mask2mm","Fiducial Marker",""
"J1, ","1","Brick-Interface-V4","Brick-Interface-V4","no_brick_interface:Brick_Interface_V4_iside","",""
"J2, ","1","Brick-Interface-V4","Brick-Interface-V4","no_brick_interface:Brick_Interface_V4_iside_straddle","",""
"J3, ","1","TE_292304-1","TE_292304-1","Connector_USB:USB_B_OST_USB-B1HSxx_Horizontal","USB Type B connector",""
"J4, ","1","TE_292303-1","TE_292303-1","Connector_USB:USB_A_Stewart_SS-52100-001_Horizontal","USB Type A connector",""
"JP1, JP6, ","2","PINHD_1X04","PINHD_1X04","no_pinhd:PINHD_1X04_2.54_1mm_Round","",""
"JP2, ","1","PINHD_1X03","PINHD_1X03","no_pinhd:PINHD_1X03_2.54_1mm_Round","",""
"JP3, ","1","PINHD_2X03","PINHD_2X03","no_pinhd:PINHD_2X03_2.54_1mm_Round","",""
"JP4, ","1","PINHD_1x02","PINHD_1x02","no_pinhd:PINHD_1X02_2.54_1mm_Round","",""
"JP5, ","1","PINHD_2X04","PINHD_2X04","no_pinhd:PINHD_2X04_2.54_1mm_Round","",""
"LOGO1, ","1","brick_logo","brick_logo","no_brick_logo:x8mm","",""
"LOGO2, ","1","brick_logo","brick_logo","no_brick_logo:x17mm","",""
"R1, ","1","1k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R2, ","1","22k1","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R3, ","1","47k5","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R4, R5, R7, ","3","330","R","no_common:R_0603_1608Metric","Resistor",""
"R6, ","1","510","R","no_common:R_0603_1608Metric","Resistor",""
"SW1, SW2, SW3, ","3","K3-2336S-F1","K3-2336S-F1","no_common:K3-2336S-F1","",""
"SW4, ","1","Taster_4545","Taster","no_common:Taster_4545","",""
"U1, ","1","SL2.1A","SL2.1A","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","",""
"U2, ","1","CP2102N-A02-GQFN20R","CP2102N-A02-GQFN20R","no_common:QFN20","USB to UART FTDI FT232RL replacement",""
"Y1, ","1","12MHz","Crystal","Crystal:Crystal_SMD_HC49-SD","Two pin crystal",""
